ds,yhat,yhat_lower,yhat_upper
2017-08-17,2011.9984529140493,-3736.278314550428,7597.726070803683
2017-08-18,825.1572620861772,-4400.109879636463,6967.465714231532
2017-08-19,1364.8223251787376,-4383.41870917128,6688.273903648899
2017-08-20,832.2321539418411,-4632.386268304212,6622.895689432376
2017-08-21,752.1534705212725,-4878.047272307026,6350.1923919461315
2017-08-22,1603.1455395282574,-4096.26995447771,7081.059350774894
2017-08-23,967.3622251075814,-4869.78460173908,6523.640727340276
2017-08-24,1345.1618095377073,-4345.924702812147,6783.380453710419
2017-08-25,302.28093866920267,-5490.667798652239,5446.941888748769
2017-08-26,986.5336781614582,-4334.829163506447,6839.546911777585
2017-08-27,595.2981075256951,-4482.409054137163,5963.012038176095
2017-08-28,649.6665699558883,-4707.734064219972,6430.097117495185
2017-08-29,1624.804860359973,-4383.014966774235,7643.358738276334
2017-08-30,1099.8403632117593,-4425.5198583280535,6444.571475325654
2017-08-31,1572.5469650396192,-3957.628949256819,7100.847557344862
2017-09-13,1323.2303326775152,-4012.5227279862243,6870.534729015474
2017-09-14,1655.2195521779026,-3551.48486133446,7348.311308119949
2017-09-15,536.845189094238,-5092.620200959231,5992.1266581976
2017-09-17,606.1160316188513,-4948.494809849765,6380.833186177056
2017-09-18,521.991453172122,-4856.0460900596845,6069.887302845099
2017-09-20,669.5968248837135,-4522.02100613293,6119.6134640112305
2017-09-21,989.9040988278316,-4218.0216588936455,6360.170276807929
2017-09-23,487.2476149093666,-5184.574829443662,5648.911128496713
2017-09-24,17.58930660218948,-5374.805412984394,5527.683475742638
2017-09-25,-5.187788968327368,-5495.498558433358,5558.279945147177
2017-09-27,310.6184602265321,-5637.6592853116135,6072.525890579863
2017-09-28,733.4925273414211,-5119.6330887335025,6630.905281673378
2017-09-29,-266.47057625045113,-5940.627011599277,5343.167930450289
2017-09-30,459.57734675334586,-5379.97945589173,5940.657462239835
2017-10-13,1082.9408061732925,-4476.87931579206,6928.936986647911
2017-10-18,1785.789328821766,-3240.4866662392005,7698.837138462057
2017-10-19,2149.86023154954,-3200.5150295297976,7352.470476449035
2017-10-20,1052.9697205548896,-4122.1447816237405,6745.136756933148
2017-10-21,1645.7179854576266,-4239.935733909603,7091.340021263359
2017-10-22,1129.1896714837503,-4812.935522307408,6570.838198935908
2017-10-23,1029.002001645481,-4316.470795216773,6627.046892695065
2017-10-24,1825.5428221870015,-3996.442290132494,7223.173522878005
2017-10-26,1367.5071249681168,-3996.592418006999,6526.416020581946
2017-10-27,187.00358801987818,-5161.43262649803,5386.639407717993
2017-10-29,154.52559698109553,-5525.689302639379,5436.211375102938
2017-11-13,218.09926420108923,-5529.781871773293,5407.082459220349
2017-11-14,1342.3460683412432,-4359.9378210105015,7007.545331597468
2017-11-15,977.1227801519648,-4622.936730781082,6751.310127873888
2017-11-16,1620.567392210692,-3694.9420558727365,6990.345911584339
2017-11-17,836.4820714334603,-4674.738343860135,6806.802833646175
2017-11-18,1771.0429757096447,-3713.1789022927583,7499.284629054419
2017-11-19,1620.2871883951045,-4071.097712072502,7100.489511001749
2017-11-20,1904.2534572679529,-3558.9933166281535,7261.187177467444
2017-11-23,3443.969068199992,-2002.6145736558813,9262.075499450282
2017-11-24,2658.484311940625,-2767.4459541421047,8352.373024113325
2017-11-25,3567.884540884311,-1692.4444979857387,9237.215748556688
2017-11-26,3368.665704078304,-2116.601023587501,9327.608452336295
2017-11-27,3581.686402234918,-2138.2407369874036,9086.643279327182
2017-11-28,4682.487160394757,-1289.8768561140514,10078.367774290758
2017-11-30,4786.8012612380035,-542.1403046801536,10448.708506683892
2017-12-13,3650.3731764852364,-2117.150964034516,9301.204424825139
2017-12-14,3866.6808277926466,-1619.8611363211096,9223.526585220408
2017-12-15,2634.5376436507136,-3110.724059426756,8049.60123110591
2017-12-16,3106.4435669439827,-2762.9790852989004,8541.283868786786
2017-12-17,2484.952688384221,-2815.565438421476,7908.0806438803465
2017-12-18,2296.71172330029,-3187.727096450714,7969.207180228265
2017-12-19,3022.697953580646,-2694.7566344676056,8450.391907444646
2017-12-20,2247.9793546883247,-2658.8758742906075,7386.967514721568
2017-12-21,2476.2676258612087,-2913.653378561647,7945.871335084552
2017-12-22,1277.0216081054477,-3823.711423278582,6889.627895142287
2017-12-23,1802.0636087800463,-4167.101242836668,7038.181320852523
